UUID,Title,Subtitle,Body
cdb4e570-ff8b-4085-91e9-ae50df32ab68,3 Oficina de Tendencias de Diseño Cada Fundador debe saber,tendencias de diseño que se alinean a su empresa para el éxito,"<p>Como uno de los fundadores de inicio, una de sus principales responsabilidades es la de asegurar que su equipo lleva a cabo con la máxima eficacia. Creemos que la piedra angular de la verdadera eficacia del lugar de trabajo es en el diseño de su lugar de trabajo. </p><p>Como todo, el diseño del lugar de trabajo varía con el tiempo. Como las tendencias evolucionan, así es necesario que su oficina, o corre el riesgo de dañar su eficiencia de los empleados. </p><p>Veamos tres grandes tendencias de diseño de oficinas y su impacto en el rendimiento de su equipo. </p>de datos <drupal-entitydata-align='center' data-embed-button='media_browser' data-entity-embed-display='view_mode:media.embedded' data-entity-type='media' data-entity-uuid='63213c8c-6ec0-4c07 -a396-bcf7898b8fe8'></drupal-entity><h2>1. Privacidad en un mundo abierto ejercicio </h2><p>Durante décadas, el diseño de la oficina cubículo dominada, pero a finales de los años 90, surgió una nueva tendencia: la oficina abierta. granjas del cubículo cayeron, dando lugar a las estaciones de trabajo sin paredes o barreras. </p><p>Oficinas abiertas prometían una mayor colaboración y la creatividad, y durante más de una década, la innovación prosperaron. Sin embargo, en los últimos años, ha crecido el descontento del empleado. Más del 90% de los trabajadores en todo el mundo * citar la falta de privacidad como una importante fuente de abatimiento lugar de trabajo. Cuando los empresarios se llevaron el cubículo de paredes, sino que también, al parecer, se llevaron la privacidad de sus empleados. </p><p>oficina de hoy debe permitir momentos de intimidad durante todo el día. A medida que el diseño de su nueva oficina, considere pequeños puestos en los que se establecen unas tablas de dos o cuatro personas. . Esto permitirá una colaboración más íntima o las oportunidades para los empleados individuales para tomar un descanso de sus colegas y se centran en sus propias asignaciones </p><p>Inspírate: <a href=""/product/downtown-collection"">Explore la Colección Estilo Downtown &gt;&gt;</a></p><drupal-entity data-align='center' data-embed-button='media_browser' data-entity-embed-display='view_mode:media.embedded' data-entity-type='media' data-entity-uuid='1296c7ac-0139-4638-85d5-f938e00472fd'></drupal-entity><h2>2. Tecnología integrada </h2><p>A medida que más Millennials hacerse cargo de la fuerza de trabajo (con la Generación Z justo detrás de ellos), integraciones tecnológicas sencillas se convertirá en esencial para cualquier diseño moderno oficina. la fuerza laboral de hoy en día no está atado a una computadora de escritorio o teléfono-los cables han sido cortados. </p><p>Si usted está mirando para maximizar la eficiencia de sus empleados conocedores de la tecnología, considere muebles y diseños que integran la tecnología de la tierra para arriba. Las estaciones de carga inalámbricas mitigarán el cargador olvidado, y las nuevas tecnologías Lifi pronto serán integrados en toda la oficina, dando a los empleados la libertad para moverse y permanecer conectado </p><p>Get Inspired:. <a href=""/product/technology-collection"">Explore la colección estilo Tech &gt; &gt; </a></p><drupal-entity data-align='center' data-embed-button='media_browser' data-entity-embed-display='view_mode:media.embedded' data-entity-type='media' data-entity-uuid='b0d45e22-713d-48a6-9720-c28b8f612324'></drupal-entity><h2>3. Bienestar en el lugar de trabajo </h2><p>Todos sabemos que los programas de bienestar se han convertido en el elemento básico de cualquier paquete de beneficios de los empleados, pero el bienestar es más que asegurar que sus empleados se mantengan fuera saludable de trabajo. Una tendencia creciente es maximizar la salud de sus empleados en el trabajo. </p><p>El constructivas Standard ™ es una iniciativa centrada en la certificación, que Obio suscribe y uno que promueve el bienestar a través de una serie de factores. < / p><p>mesas sentado y de pie mejora la salud y la mente de los empleados (y evitar que sean adictos a la televisión). productos con certificación LEED® también aseguran que está comprando sólo materiales ecológicos, que conducen a una cultura más positiva empresa </p><p>Get Inspired:. <a href=""/product/eco-friendly-collection"">Explore la Colección ecológico Estilo &gt; &gt; </a></p><p>Tener más que añadir a la historia? Déjanos un <a href=""#comments"">comentario.</a></p><h6>Recursos:. <br /><sub>*<a href=""http://www.businessnewsdaily.com/7456-workspace-design-productivity.html"">http://www.businessnewsdaily.com/7456-workspace-design-productivity.html</a></sub></h6>"
c8317f4e-0a58-4922-8095-4a848bfd2f3e,Cumplir con Shawn y ver cómo Casual Collection trabajó para su negocio,Perfil de cliente,"<p>Soy Shawn James, y yo soy el fundador y CEO de Slam Jam Acústica. Somos una compañía de grabación de DJ y software de edición basado en la nube ubicado en Boston, Massachusetts. </p><p>Nuestra empresa es construido por amantes de la música, la fabricación de software increíble para otros amantes de la música. Somos jóvenes, la mayoría de nosotros estamos en los finales de los 20, 30 años de edad. </p><p>Para una empresa hecha de la generación del milenio, Casual apelaciones Colección Estilo de obio a nuestro deseo de trabajar de una manera que se adapte a nuestro estilo de vida y compañía . cultura </p><p>no soy un diseñador; Soy ingeniero y músico. Mis empleados son los mismos. Obio es como una extensión de nuestro equipo, ayudando a diseñar nuestro espacio y forma parte de lo que hace Slam Jam grande. </p>"
51d9f3f2-cbc7-4713-9fbb-f2e062165115,Conoce a Sarah y ver cómo funciona esta colección para su estilo de vida,Perfil de cliente,"<p>soy Sarah Kelly, director de la oficina y coordinador de Bayside Seguros, una compañía de seguros con sede en San Francisco. Junto a la bahía de Seguros ha proporcionado servicios de seguros en el área de la bahía desde hace más de una década, pero recientemente ha abierto una oficina secundaria en Boston. </p><p>Como parte de esa expansión, me mudé a Massachusetts y tenía la tarea de diseño de nuestro nuevo espacio. Había comprado los muebles y el arte para nuestra oficina antes, pero nunca había comenzado desde cero. Un colega recomendado Obio, y yo estaba inmediatamente impresionado con la variedad de colecciones y paquetes Ambiance disponible para mí. </p><p>Nuestra oficina original tenía un aspecto relajado, pero para que coincida con el ambiente profesional de Boston aterricé sobre la recaudación el centro, que encajan perfectamente con nuestra cultura. Nuestros clientes son siempre impresionados cuando visitan, y nuestros empleados les encanta recibir una nueva mirada como parte de nuestro paquete Ambiente Oro. Estamos a punto de entrar en un nuevo espacio en San Francisco, y Obio está en la cima de nuestra lista de proveedores con quien trabajar en el diseño. </p>"
917f8fd4-da66-4bfc-84c1-f5a8d1d49966,Conoce a Thomas y ver cómo funciona esta colección para su negocio,Perfil de cliente,"<p>Thomas Bazzi de mi nombre, y yo fundamos CompuKoozie, una empresa que crea los titulares de cerveza inteligentes que hacen un seguimiento de su ingesta de bebida a través de nuestro compañero de aplicación. Cuando recibimos nuestra primera serie de fondos que queríamos abrir una nueva oficina con un estilo que representa nuestra cultura de empresa. </p><p>Me topé con Obio y fue tomada por la Colección de la vendimia, que me recordaba a mi favorito local bares que me inspiraron para crear originalmente mi producto. Después de revisar nuestras opciones, terminamos yendo con el paquete Platinum Ambiente, que refresca nuestro espacio con nueva decoración cada seis meses. </p><p>Trabajar con Obio ha sido una gran experiencia, y nuestro espacio único ha hecho maravillas con el personal de CompuKoozie. A medida que continuamos creciendo sé que puedo volver a Obio y confiar en ellos para renovar nuestra oficina en cualquier tamaño y en cualquier estilo. </p>"
005a8c97-bb04-40e6-95f0-67e75999e2c5,La limpieza de su huella de carbono en el Trabajo,4 Consejos para crear una oficina de carbono neutral,"<p>El empleado promedio en Estados Unidos consume más de 10.000 hojas de papel cada año - <a href=""http://www.bizjournals.com/buffalo/blog/morning_roundup/2014/05/pulp-fiction-how-many-trees-does-it-take-to-make.html"" target=""_blank"">aproximadamente igual</a> a 1,2 árboles. Con tantos cambios sucediendo con el clima y el medio ambiente de nuestro mundo, todos debemos hacer lo que podamos para reducir el impacto negativo que tenemos en el planeta. </p><p>Pero no hay más que podemos hacer que sólo ahorrar papel. Echa un vistazo a nuestros cuatro consejos para la limpieza de su huella de carbono en el trabajo. </p><h3>1. Reducir el uso de la electricidad </h3><p>Al final de cada jornada de trabajo, apague todos los aparatos electrónicos, especialmente los ordenadores. Los ajustes ""en espera"" o de ""reposo"" todavía consumen mucha electricidad desperdicio. </p><p>Establecer sus ordenadores y otros aparatos electrónicos a sus mejores ajustes posibles de eficiencia. Por ejemplo, la mayoría de los monitores pueden aislarse después de un período de tiempo, digamos 15 minutos, de la ociosidad. </p><p>Apaga la luz en la sala de conferencias o cocinas cuando no esté en uso. Ir un paso más allá e instalar reguladores de voltaje de detección de movimiento para asegurar que nunca se olvida. </p><h3>2. Go Digital, pero si tiene que utilizar papel ... </h3><p>Puede parecer obvio en 2017, pero vale la pena repetirlo: Ir digital. Con tantos servicios disponibles en línea y en la nube, la mayoría de las empresas tienen pocas razones para necesitar nada en la impresión. El almacenamiento digital también hace viajes de negocios y oficinas móviles de una brisa. </p><p>Pero si tiene que usar papel ... tiene que adquirir papel reciclado y ser diligente en lo que se imprime y cómo. Busque impresoras capaces de imprimir a doble cara y comprar cartuchos de tinta recargables. </p><p>Una solución sencilla que utilizamos en Obio (para las raras ocasiones en las que necesitamos para imprimir) es descartar cualquier papel impreso que ya no se necesita en un compartimiento de ""gritos"". Una vez que tenemos suficiente papel ""gritos"", que ellos se unen en los portátiles y el uso de los lados vacíos para tomar notas </p><p>Una última idea:.. Si envía una gran cantidad, utilice su papel triturado como material de embalaje </p><h3>3. Trabajo desde casa </h3><p>El mejor consejo que podemos ofrecer para limpiar su huella de carbono en el trabajo es rediseñar su espacio de oficina con diseños ecológicos. Nuestra colección Estilo respetuoso del medio ambiente, por ejemplo, ofrece mobiliario de oficina a partir de materiales reciclados. Al comprar, buscar certificaciones LEED® en los productos. </p><p>Puede también mejorar su calidad de luz con lámparas de escritorio LED y al permitir que tanta luz natural como sea posible a través de sus ventanas de la oficina (y reduciendo así la necesidad de utilizar luces eléctricas en absoluto) </p><p><a href=""/product/eco-friendly-collection"">INSPÍRATE:. Explora la Colección Estilo ecológico</a></p>"
63cfeb37-8bce-4883-9dfc-a9c72477173f,Cómo contratar y retener empleados con la Oficina de Diseño Perfecto,Los tres componentes clave para el uso de su oficina como una herramienta de reclutamiento,"<p>A medida que el reclutador de recursos humanos para su empresa, ya sabes lo fuerte paquetes de beneficios, rentabilidad de la empresa, y crecimiento de la carrera comprobado todos pueden hacer maravillas para atraer a los mejores candidatos en su industria. Y una vez que a bordo de ellas, se obtiene como la cultura de la empresa, la conciliación y bonificaciones predecibles pueden mantenerlos leales. Pero si tenemos en cuenta todo lo que pasa en el reclutamiento y la retención, ¿con qué frecuencia se piensa en el diseño de su oficina? </p><p>El diseño y el aspecto de su oficina debe ser uno de los principios más esenciales de su estrategia de retención de reclutamiento y . Según el informe del Milenio Impacto 2015, el entorno de su oficina es la cuarta generación del milenio factor más importante para considerar al elegir un trabajo. </p><p>¿Cómo se puede diseñar su oficina para mejorar sus tasas de captación y retención? Recomendamos el diseño de <strong>colaboración </strong>, <strong>flexibilidad y accesibilidad </strong>y <strong>iluminación </strong>. </p><h3>Colaboración </h3><p>Con la tecnología actual, la gente puede elegir si desea trabajar desde su casa o en la oficina. Para aquellos que prefieren este último, la colaboración es el verdadero punto de venta. La gente quiere trabajar con las personas para aprender de ellos y para hacer grandes cosas juntos. El diseño de su oficina, por lo tanto, debe facilitar esa necesidad de reclutar mejor y retener a los empleados. </p><p>Las grandes estaciones de trabajo, mesas de conferencias y salas de descanso fomentarán esta colaboración, pero si usted está buscando nuevas ideas, tenga en cuenta el endeudamiento de las instituciones de educación superior. Sus nuevos empleados milenarias acabamos de pasar al menos cuatro años colaborando en formas creativas, fuera de la caja. Tome un viaje a su universidad local y encontrar la inspiración </p><p><a href=""/product/casual-collection"">INSPÍRATE:. Explorar Nuestra colección Estilo Casual</a></p>< h3>flexibilidad y accesibilidad </h3><p>Todos los empleados desean la libertad de elegir cómo llevar a cabo su trabajo. Nadie quiere que le digan a sentarse en un pequeño cubículo y golpear en un teclado de ocho horas al día, cinco días a la semana. Para proporcionar la flexibilidad a sus empleados merecen, llevar en las estaciones de trabajo en las ruedas. Obtener mesas que permiten a las personalizaciones sentado y de pie, y que vienen con paredes de privacidad retráctiles para los empleados que necesitan tranquila durante la ""hora de la verdad."" También debe considerar proporcionar a los empleados el acceso a los niveles de iluminación de oficinas, control de la temperatura y la ventilación. </p><p>También es necesario tener en cuenta la accesibilidad en el diseño de su oficina. Ya se trate de seguir las leyes del ADA para personas con discapacidad o la prestación de apoyo para las oficinas de varias generaciones, tenga en cuenta los matices y las necesidades de accesibilidad de sus empleados. </p><h3>Aclaración </h3><p>Ha trabajado en algun ventana- menos de oficina? Sintió el zumbido quema de las luces fluorescentes blancas brillantes que lleva hacia abajo en usted? Si se siente cosquilleo de que el estrés sólo leer estas palabras, entonces no debería tener ningún problema para la comprensión de la importancia de la luz natural en la oficina. </p><p>La luz natural se ha demostrado que producen los empleados sean más eficaces y productivos . Por otra parte, las oficinas con luz natural solo se ven bien-no se olvide la importancia de la primera impresión es que los candidatos durante su entrevista. </p><p>Incluso si usted no tiene ventanas de piso a techo, todavía se puede administrar para traer mayor cantidad de luz natural en la oficina como sea posible. Pasa de las persianas o los tienen siempre elaborados de forma predeterminada. Limpiar el desorden en los alféizares. . Incluso puede que desee considerar derribando las paredes interiores y reemplazarlas con particiones acristaladas </p><h3>Conclusión: Diseño competitivo </h3><p>En cada etapa del proceso de contratación, que está compitiendo con otro los empleadores para los mejores candidatos. No todos los puntos de venta está bajo su control (que pueden predecir las fuerzas del mercado económicas con exactitud?). Sin embargo, su oficina es 100% dentro de su poder, y se puede asegurar que cuando un candidato o empleado pasos a través de la puerta, su diseño sopla la competencia de distancia </p><p><a href=""/shop/office"">Inspírate: Explora nuestro estilo Colecciones Hoy</a></p>"
