UUID,Name,Details,Media
29693a50-35d1-4a5e-9b86-1bc7bfe4e28f,success,Obio Success Stories,space-desk-workspace-coworking.jpg
4eb116d7-d6a7-4a0c-8855-d78219c2f308,office design,Office Design,collection-casual-3.jpg
b8226351-f525-4644-b130-8c13bf79ae8b,downtown,Downtown Style,collection-downtown-1.jpg
fd7e759b-df90-4ca3-baa7-232fad7d5a81,vintage,Vintage,collection-vintage-1.jpg
5528ae18-7059-465d-b453-18aef4c8d1e2,casual,Casual Office,collection-casual-1.jpg
2c946da7-911b-4984-83dd-545615b83f20,eco,Eco-Friendly,collection-eco-1.jpg
2ed810dd-af5c-4ad8-9648-09e504912bca,minimal,Minimalsim,collection-eco-3.jpg
0fd34fca-66c7-4032-9c21-32a21899c3c2,iot,Internet of Things,collection-iot-1.jpg
1009c569-957b-45e7-8d45-08c0ce07b81e,startup,Start-up,collection-downtown-2.jpg
7104b4c4-d33b-40ee-835a-804b54c04a77,recruitment,Recruitment,collection-casual-3.jpg
81ea0e33-389c-49e3-aa9a-fec1776433a9,kitchen,Kitchen,collection-casual-4.jpg
762869b0-c7e7-4711-969d-150cec3b0676,designer q&a,Designer Q&A,collection-casual-2.jpg